id,name,release_date,refined_date,how_to_read,english_name,description,must_learn,refine_from,can_status_refine,refine_description,refine_description2,special_refine_description,special_refine_hp,type,assist_type,sacred_seal,weapon_type,inherit,inheritable_weapon_type,inheritable_move_type,count,might,might_refine,no_impl_required,range,sp,effective,invalidate_effective,consideration,hp,atk,spd,def,res,cooldown_count,atk_count,counteratk_count,all_dist_counter,disable_counter,wrathful_staff
960,"ラウアフォックス+",,,,,"自分から攻撃した時、戦闘中、敵の攻撃、速さ、守備、魔防-4","|ラウアフォックス|","",true,"","","","","武器","",,"赤魔法","可",,,,12,,,,300,"","","",,,,,,,,,,,
961,"歩行の魔刃3",,,,"Inf. Hexblade 3","周囲1マスの剣、槍、斧、弓、暗器の味方歩行は、戦闘中、攻撃、速さ+2、かつ敵の守備か魔防の低い方でダメージ計算(この効果は戦闘前奥義には無効)","|歩行の魔刃2|","",,"","","","","パッシブC","",true,"","可","|魔法|","|歩行|",,,,,,240,"","","",,,,,,,,,,,
962,"速さ魔防の防城戦3",,,,"AR-D Spd/Res 3","飛空城防衛時、戦闘中、自身の速さ、魔防が防衛設備の数によって最大+10上昇(防衛設備が5つ以上なら+10、4つなら+7、3つなら+4、2つ以下なら+1)(破壊された防衛設備は、無いものとして扱う)","|速さ魔防の防城戦2|","",,"","","","","パッシブA","",,"","可",,,,,,,,240,"","","",,,,,,,,,,,
963,"狩猟の鋭刃",,2022-11-07,,"Hunting Blade","獣特効<br>奥義が発動しやすい(発動カウント-1)<br>戦闘開始時、自分の攻撃、速さ、守備、魔防それぞれについて、周囲2マス以内に自分より高い味方がいれば、戦闘中、+5(能力値ごとに計算)<br>【暗器(7)】効果<br>【暗器(7)】戦闘中に攻撃していれば、戦闘後に敵と、その周囲2マスの敵の守備、魔防-7(敵の次回行動終了まで)","","",true,"獣特効<br>奥義が発動しやすい(発動カウント-1)<br>周囲3マス以内に味方がいる時、戦闘中、攻撃、速さ、守備、魔防+4<br>攻撃、速さ、守備、魔防のそれぞれについて、周囲3マス以内に、戦闘開始時の自分の能力値-4より高い味方がいれば、戦闘中、自分のその能力値+6<br>【暗器(7)】効果<br>【暗器(7)】戦闘中に攻撃していれば、戦闘後に敵と、その周囲2マスの敵の守備、魔防-7(敵の次回行動終了まで)","","戦闘開始時、自身のHPが25%以上なら、戦闘中、攻撃、速さ、守備、魔防+4、自分の追撃不可を無効、かつ戦闘開始時、敵のHPが100%で、自分から攻撃した時、戦闘中、自身の奥義発動カウント変動量-を無効、最初に受けた攻撃のダメージを60%軽減","","武器","",,"暗器","不可",,,,14,,,,400,"|獣|","","",,,,,,-1,,,,,
964,"攻撃速さの密集3",,,,"Atk/Spd Form 3","周囲2マス以内に味方がいる時、戦闘中、自身の攻撃、速さが周囲2マス以内の味方の人数×2+1だけ上昇(最大7)","|攻撃速さの密集2|","",,"","","","","パッシブA","",true,"","可",,,,,,,,240,"","","",,,,,,,,,,,
965,"ルーナの鋭剣",,2019-08-06,,,"重装特効<br>戦闘開始時、敵の攻撃が自分より3以上高い時、戦闘中、自分の攻撃、速さ、守備、魔防+3","","",true,"重装特効","","戦闘開始時、敵の攻撃が自分より3以上高い時、戦闘中、自分の攻撃、速さ、守備、魔防+3<br>奥義発動時、奥義によるダメージ+10",3,"武器","",,"剣","不可",,,,16,,,,400,"|重装|","","",,,,,,,,,,,
966,"ベルカの殺斧",,2019-08-06,"ベルカのさつふ",,"奥義が発動しやすい(発動カウント-1)","","",true,"奥義が発動しやすい(発動カウント-1)","","戦闘開始時、自身のHPが50%以上なら敵の攻撃-4、かつ敵の奥義発動カウント変動量-1(同系統効果複数時、最大値適用)",3,"武器","",,"斧","不可",,,,16,,,,400,"","","",,,,,,-1,,,,,
967,"金蘭の書",,2019-08-06,,,"自分から攻撃した時、戦闘中の攻撃+6","","",true,"自分から攻撃した時、戦闘中の攻撃+6","","移動系補助(体当たり、引き戻し、回り込み等)を使用した時、または自分に使用された時、自分と相手の攻撃、速さ+6(1ターン)","","武器","",,"青魔法","不可",,,,14,,,,400,"","","",,,,,,,,,,,
968,"金石の書",,2019-08-06,"きんせきのしょ",,"無属性の敵と戦闘時、自分は3すくみ有利、敵は3すくみ不利となる","","",true,"無属性の敵と戦闘時、自分は3すくみ有利、敵は3すくみ不利となる","","剣、槍、斧、獣の敵から攻撃された時、距離に関係なく反撃する","","武器","",,"緑魔法","不可",,,,14,,,,400,"","","",,,,,,,,,,,
969,"サリエルの大鎌",,2023-01-10,"サリエルのおおがま","Scythe of Sariel","奥義が発動しやすい(発動カウント-1)<br>敵が強化(応援、鼓舞等)または移動+1(重装の行軍、重装のブーツ等)の効果を受けている時、戦闘中、自分の攻撃、速さ、守備、魔防+4、敵は追撃不可","|銀の槍|","",true,"奥義が発動しやすい(発動カウント-1)<br>敵が【有利な状態】の時、または、戦闘開始時、敵のHPが75%以上の時、戦闘中、自身の攻撃、速さ、守備、魔防+4、敵は追撃不可<br>【有利な状態】「1ターン」の効果全般(強化、移動+1、敵弱化ダメージ+等)","","戦闘中、戦闘開始時、自身のHPが25%以上なら、攻撃、速さ、守備、魔防+4、絶対追撃",3,"武器","",,"槍","不可",,,,16,,,,400,,"","",,,,,,-1,,,,,
970,"サングリズル",,2021-09-06,,"Sanngriðr","敵は反撃不可<br>戦闘中に攻撃していれば、戦闘後に敵と、その周囲1マスの敵に【グラビティ】を付与<br>自分から攻撃した時、戦闘中、攻撃、速さ+3<br>【グラビティ】移動を最大1マスに制限する状態異常(敵の次回行動終了まで)",,"",,"敵は反撃不可<br>戦闘中に攻撃していれば、戦闘後に敵と、その周囲1マスの敵に【グラビティ】を付与<br>自分から攻撃した時、戦闘中、攻撃、速さ+4<br>【グラビティ】移動を最大1マスに制限する状態異常(敵の次回行動終了まで)","","ターン開始時、自身を中心とした縦3列と横3列の敵の守備、魔防-7(敵の次回行動終了まで)<br>自分から攻撃した時、戦闘中、攻撃、速さ+6",,"武器","",,"杖","不可","","",,14,,,,400,,,"",,,,,,,,,,true,
971,"攻撃速さの渾身4",2019-08-16,,,"Atk/Spd Push 4","戦闘開始時、自身のHPが25%以上なら攻撃、速さ+7<br>その状態で攻撃した時、戦闘後、自分に5ダメージ","|攻撃速さの渾身3|","",,"","","","","パッシブA","",,"","可","|剣|槍|斧|竜|獣|","",,,,,,300,"","","",,,,,,,,,,,
972,"氷精ニニスの槍",,2021-09-06,,"Ninis's Ice Lance","竜、獣特効<br>速さ+3<br>自分から攻撃した時、戦闘中、攻撃、速さ、守備、魔防+4","|銀の槍|","",true,"竜、獣特効<br>速さ+3<br>自分から攻撃した時、または、周囲2マス以内に味方がいる時、戦闘中、攻撃、速さ、守備、魔防+5、かつ、自分の追撃不可を無効","","自分から攻撃した時、または、周囲2マス以内に味方がいる時、戦闘中、攻撃、速さ、守備、魔防+5、かつ、速さが敵より高い時、受けた範囲奥義のダメージと、戦闘中に攻撃を受けた時のダメージを速さの差×4%軽減(最大40%)(巨影の範囲奥義を除く)",3,"武器","",,"槍","不可",,,,16,,,,400,"|竜|獣|","","",,,3,,,,,,,,
973,"攻撃速さの大共謀3",,,,"Atk/Spd Ruse 3","応援を使用した時、または自分に使用された時、自分と相手の十字方向にいる敵は、攻撃、速さ-5(敵の次回行動終了まで)かつ【キャンセル】を付与","|攻撃速さの大共謀2|","",,"","","","","パッシブB","",,"","可","|杖以外|","|歩行|騎馬|",,,,,,240,"","","",,,,,,,,,,,
974,"暁の光",,2021-09-06,"あかつきのひかり","Light of Dawn","重装、騎馬特効<br>魔防+3<br>戦闘中、攻撃、速さ、守備、魔防が敵が受けている攻撃、速さ、守備、魔防の弱化の値だけ上昇(能力値ごとに計算)","","",true,"重装、騎馬特効<br>魔防+3<br>戦闘開始時、敵のHPが75%以上、または、敵が【不利な状態異常】を受けている時、戦闘中、攻撃、速さ、守備、魔防+4、かつ、戦闘中、攻撃、速さ、守備、魔防が敵が受けている攻撃、速さ、守備、魔防の弱化の値だけ上昇(能力値ごとに計算)<br>【不利な状態異常】「敵の次回行動終了まで」の効果全般(弱化、移動制限、パニック、反撃不可、相性激化、キャンセル等)","","自分から攻撃した時、または、周囲2マス以内に味方がいる時、戦闘中、攻撃、魔防+6、絶対追撃","","武器","",,"緑魔法","不可",,,,14,,,,400,"|重装|騎馬|","","",,,,,3,,,,,,
975,"攻撃魔防の絆4",,,,"Atk/Res Bond 4","味方と隣接している時、戦闘中、自身の攻撃、魔防+7、かつ攻撃、魔防の弱化を無効","|攻撃魔防の絆3|","",,"","","","","パッシブA","",,"","可",,,,,,,,300,"","","",,,,,,,,,,,
976,"ユンヌの囁き",,,"ユンヌのささやき","Yune's Whispers","ターン開始時、敵同士が隣接していて、かつ、魔防が自分より3以上低い敵の攻撃、速さ-6(敵の次回行動終了まで)","","",,"","","","","パッシブB","",,"","不可",,,,,,,,300,"","","",,,,,,,,,,,
977,"竜剣ファルシオン",,2021-09-06,"りゅうけんファルシオン",Dracofalchion,"竜特効<br>攻撃+3<br>周囲2マス以内の敵と味方の数(自身と戦闘相手を除く)が同じか敵の方が多い時、戦闘中、攻撃、速さ、守備、魔防+5","","",true,"竜特効<br>攻撃+3<br>ターン開始時、自身の移動+1(1ターン、重複しない)<br>自分から攻撃した時、または、周囲1マス以内に味方がいない時、戦闘中、攻撃、速さ、守備、魔防+5","","戦闘開始時、自身のHPが25%以上なら、戦闘中、攻撃、速さ、守備、魔防+5<br>戦闘開始時、自身のHPが25%以上で、敵が剣、槍、斧、弓、暗器、獣、かつ、速さが1以上高い時、自分の追撃不可を無効、敵は反撃不可",3,"武器","",,"剣","不可",,,,16,,,,400,"|竜|","","",,3,,,,,,,,,
978,"覇神断竜剣",,,,Scendscale,"ダメージ+攻撃の25%<br>その状態で攻撃した時、戦闘後、自分に7ダメージ","","",,"","","","","パッシブA","",,"","不可",,,,,,,,300,"","","",,,,,,,,,,,
979,"攻撃速さの威嚇3",,,,"Threat. Atk/Spd 3","ターン開始時、周囲2マス以内に敵がいる場合、自分の攻撃、速さ+5(1ターン)、かつ周囲2マス以内の敵の攻撃、速さ-5(敵の次回行動終了まで)","|攻撃速さの威嚇2|","",,"","","","","パッシブC","",,"","可","","",,,,,,300,"","","",,,,,,,,,,,
980,"至聖ナーガ",,2022-09-06,,"Virtuous Naga","竜特効<br>攻撃+3<br>戦闘開始時、攻撃が敵より1以上高い時、戦闘中、攻撃、魔防+6","","",true,"竜特効<br>攻撃+3<br>戦闘開始時、攻撃が敵より1以上高い時、または、戦闘開始時、敵のHPが75%以上の時、戦闘中、攻撃、魔防+6、かつ、魔防が敵より高い時、受けた範囲奥義のダメージと、戦闘中に攻撃を受けた時のダメージを魔防の差×4%軽減(最大40%)(巨影の範囲奥義を除く)","","周囲3マス以内に味方がいる時、戦闘中、攻撃、速さ、守備、魔防+4、絶対追撃、かつ、竜と戦闘時、距離に関係なく反撃する","","武器","",,"青魔法","不可",,,,14,,,,400,"|竜|","","",,3,,,,,,,,,
981,"光と闇と",,,"ひかりとやみと","Light and Dark","戦闘中、敵の攻撃、速さ、守備、魔防-2、かつ敵の強化の+を無効にする(無効になるのは、鼓舞や応援等の+効果)、かつ、「敵の守備か魔防の低い方でダメージ計算」を無効化","","",,"","","","","パッシブB","",,"","不可",,,,,,,,300,"","","",,,,,,,,,,,
982,"攻撃魔防の信義3",,,,"Atk/Res Oath 3","ターン開始時、周囲1マスに味方がいれば自分の攻撃、魔防+5(1ターン)","|攻撃魔防の信義2|","",,"","","","","パッシブC","",true,"","可","","|歩行|飛行|",,,,,,240,"","","",,,,,,,,,,,
983,"メグスラシル",,,,,"自分から攻撃した時、2回攻撃<br>速さ-2","","",,"","","","","武器","",,"赤魔法","不可",,,,8,,true,,400,"","","",,,-2,,,,2,,,,
984,"ヴェルザンディ",,,,,"「歌う」「踊る」使用時、対象の攻撃、速さ、守備、魔防+4","|銀の槍|","",,"","","","","武器","",,"槍","不可",,,,16,,,,400,"","","",,,,,,,,,,,
985,"青の死闘・歩行3",,,,"B Duel Infantry 3","HP+5<br>自分が★5かつレベル40の時、闘技場などで、自分の能力値が低くても、スコアの高い敵が登場する(限界突破やスキル等を加味しない場合の自分の能力値合計が170より低い場合、自分の能力値合計が170として扱われる)","|青の死闘・歩行2|","",,"","","","","パッシブA","",,"","可","|槍|青魔|青暗器|青竜|青獣|青弓|","|歩行|",,,,,,300,"","","",5,,,,,,,,,,
986,"弦楽器の弓+",,,,,"飛行特効<br>周囲2マスの味方は、剣、槍、斧、竜、獣の敵と戦闘中、守備、魔防+4","|弦楽器の弓|","",true,"","","","","武器","",,"弓","可",,,,12,,,,300,"|飛行|","","",,,,,,,,,,,
987,"業火大地の舞い2",,,,"Caldera Dance 2","「歌う」「踊る」使用時、対象の攻撃+3、守備+4","|業火大地の舞い1|","",,"","","","","パッシブB","",,"","可","|杖以外|","",,,,,,240,"","","",,,,,,,,,,,
988,"ヴァフスルーズニル",,,,,"自分から攻撃した時、2回攻撃<br>速さ-5","","",,"","","","","武器","",,"緑魔法","不可",,,,9,,true,,400,"","","",,,-5,,,,2,,,,
989,"攻撃の相互鼓舞",,,,"Joint Hone Atk","ターン開始時、周囲1マスに味方がいる場合、自分と周囲1マスの味方の攻撃+5(1ターン)","|攻撃の鼓舞3|","",,"","","","","パッシブC","",,"","可",,,,,,,,300,"","","",,,,,,,,,,,
990,"銀のゴブレット+",,,,"Silver Goblet+","周囲2マス以内の味方は弓暗器魔法杖との戦闘中、守備、魔防+4","|銀のゴブレット|","",true,"","","","","武器","",,"青魔法","可",,,,12,,,,300,"","","",,,,,,,,,,,
991,"レイピア",,,,,"重装、騎馬特効<br>速さ+3<br>自分のHPが75%以下で、敵から攻撃された時、先制攻撃","","",,"","","","","武器","",,"剣","不可",,,,16,,,,400,"|重装|騎馬|","","",,,3,,,,,,,,
992,"速さ守備の密集3",,,,"Spd/Def Form 3","周囲2マス以内に味方がいる時、戦闘中、自身の速さ、守備が周囲2マス以内の味方の人数×2+1だけ上昇(最大7)","|速さ守備の密集2|","",,"","","","","パッシブA","",true,"","可",,,,,,,,240,"","","",,,,,,,,,,,
993,"黒騎の孤槍",,2023-01-10,,"Sable Lance","奥義が発動しやすい(発動カウント-1)<br>周囲1マス以内に味方がいない時、戦闘中、攻撃、速さ、守備、魔防+4","|銀の槍|","",true,"奥義が発動しやすい(発動カウント-1)<br>自分から攻撃した時、または、周囲1マス以内に味方がいない時、戦闘中、攻撃、速さ、守備、魔防+4、敵の絶対追撃を無効、かつ、自分の追撃不可を無効","","戦闘開始時、自身のHPが25%以上なら、戦闘中、攻撃、速さ、守備、魔防+4、さらに、攻撃、速さ、守備、魔防が、攻撃した側(自分からなら自分、敵からなら敵)の移動前と移動後のマスの距離(最大3)×2だけ増加、最初に受けた攻撃のダメージを30%軽減",3,"武器","",,"槍","不可",,,,16,,,,400,,"","",,,,,,-1,,,,,
994,"攻撃速さの凪3",,,,"Lull Atk/Spd 3","戦闘中、敵の攻撃、速さ-3、かつ敵の攻撃、速さの強化の+を無効にする(無効になるのは、鼓舞や応援等の+効果)","|攻撃速さの凪2|","",,"","","","","パッシブB","",,"","可","","|歩行|騎馬|",,,,,,240,"","","",,,,,,,,,,,
995,"速さ守備の大覚醒3",,,,"Brazen Spd/Def 3","戦闘開始時、自分のHPが80%以下なら戦闘中、速さ、守備+7","|速さ守備の大覚醒2|","",,"","","","","パッシブA","",true,"","可",,,,,,,,240,"","","",,,,,,,,,,,
996,"異空のブレス",,2023-06-07,,"Ethereal Breath","竜特効<br>受けた範囲奥義のダメージを80%軽減(巨影の範囲奥義を除く)<br>無属性の敵と戦闘時、自分は3すくみ有利、敵は3すくみ不利となる<br>奥義が発動しやすい(発動カウント-1)<br>射程2の敵に、敵の守備か魔防の低い方でダメージ計算",,"",true,"竜特効<br>射程2の敵に、敵の守備か魔防の低い方でダメージ計算<br>奥義が発動しやすい(発動カウント-1)<br>受けた範囲奥義のダメージを80%軽減(巨影の範囲奥義を除く)<br>無属性の敵と戦闘時、自分は3すくみ有利、敵は3すくみ不利となる<br>戦闘開始時、自身のHPが25%以上なら、戦闘中、敵の攻撃、魔防-5、かつ戦闘中、自分の攻撃でダメージを与えた時、自分は、7回復(与えたダメージが0でも効果は発動)","","敵から攻撃された時、または、戦闘開始時、敵のHPが75%以上の時、戦闘中、敵の攻撃、魔防-5、自身の守備、魔防の弱化を無効、かつ魔防が敵より高い時、受けた範囲奥義のダメージと、戦闘中に攻撃を受けた時のダメージを魔防の差×4%軽減(最大40%)(巨影の範囲奥義を除く)",3,"武器","",,"竜石","不可","","",,16,,,,400,,,"",,,,,,-1,,,,,
997,"メリクル",,2023-03-06,,Mercurius,"攻撃+3<br>ターン開始時、自分のHPが50%以上なら、自分と周囲2マスの味方の剣、槍、斧、弓、暗器、獣の攻撃、速さ、守備、魔防+4(1ターン)(周囲2マスに味方がいなくても自分は強化される)",,"",true,"攻撃+3<br>ターン開始時、自身のHPが25%以上なら、自分と周囲2マスの味方の攻撃、速さ、守備、魔防+6(1ターン)(周囲2マスに味方がいなくても自分は強化される)<br>戦闘開始時、自身のHPが25%以上なら、戦闘中、攻撃、速さ、守備、魔防+4","","周囲3マス以内に味方がいる時、戦闘中、攻撃、速さ、守備、魔防+4、さらに、攻撃、速さ、守備、魔防が増加<br>増加値は、自分と周囲3マス以内にいる味方のうち強化が最も高い値(能力値ごとに計算)",3,"武器","",,"剣","不可",,,,16,,,,400,,,"",,3,,,,,,,,,
998,"イーヴィングル",,2023-02-06,,"","竜特効<br>周囲3マス以内に味方がいる時、戦闘中、自身の攻撃、速さ、守備、魔防+4、かつ敵の絶対追撃を無効<br>その状態で攻撃した時、戦闘後、最も近い味方の攻撃、速さ、守備、魔防-4(次回行動終了まで)",,"",true,"竜特効<br>周囲3マス以内に味方がいる時、戦闘中、自身の攻撃、速さ、守備、魔防+6、かつ敵の絶対追撃を無効、かつ、自分の追撃不可を無効<br>その状態で攻撃した時、戦闘後、最も近い味方の攻撃、速さ、守備、魔防-4(次回行動終了まで)","","奥義が発動しやすい(発動カウント-1)<br>戦闘開始時、自身のHPが25%以上なら、戦闘中、自身の攻撃、速さ、守備、魔防+4、敵の速さ、魔防の強化を無効",,"武器","",,"緑魔法","不可",,,,14,,,,400,"|竜|",,"",,,,,,,,,,,
999,"死んでほしいの",,,,"Killing Intent","戦闘開始時、敵のHPが99%以下、または、敵が【不利な状態異常】を受けている時、敵の速さ、魔防-5、かつ自分から攻撃した時、追撃可能なら自分の攻撃の直後に追撃を行う","","",,"","","","","パッシブB","",,"","不可",,,,,,,,300,"","","",,,,,,,,,,,
1000,"恐慌の幻煙3",,,,"Panic Smoke 3","戦闘後、敵とその周囲2マスの敵に【パニック】を付与<br>【パニック】強化を+ではなく-とする状態異常(敵の次回行動終了まで)","|恐慌の幻煙2|","",,"","","","","パッシブC","",,"","可","|杖以外|","",,,,,,240,"","","",,,,,,,,,,,
1001,"守備魔防の応援+",,,,,"対象の守備、魔防+6(1ターン)","|守備魔防の応援|","",,"","","","","サポート",Rally,,"","可","|杖以外|",,,,,,,400,"","","",,,,,,,,,,,
1002,"魔月の祭器",,2022-11-07,,"Conjurer Curios","重装特効<br>攻撃+3<br>奇数ターン、または、戦闘開始時の敵のHPが99%以下の時、戦闘中、攻撃、速さ、守備、魔防+4","","",true,"重装特効<br>攻撃+3<br>奇数ターン、または、戦闘開始時、敵のHPが99%以下の時、戦闘中、攻撃、速さ、守備、魔防+4、最初に受けた攻撃のダメージを軽減<br>軽減値は、敵が追撃可能なら60%、そうでないなら30%","","戦闘開始時、自身のHPが25%以上なら、戦闘中、自身の攻撃、速さ、守備、魔防+4、敵の攻撃、守備が、戦闘開始時の自分の攻撃の10%だけ減少、戦闘後、自分のHP7回復",3,"武器","",,"剣","不可",,,,16,,,,400,"|重装|","","",,3,,,,,,,,,
1003,"フラスコ+",,,,,"攻撃、速さ、守備、魔防+3<br>戦闘後、自分に6ダメージ","|フラスコ|","",true,"","","","","武器","",,"緑魔法","可",,,,12,,,,300,"","","",,3,3,3,3,,,,,,
1004,"速さ魔防の大共謀3",,,,"Spd/Res Ruse 3","応援を使用した時、または自分に使用された時、自分と相手の十字方向にいる敵は、速さ、魔防-5(敵の次回行動終了まで)かつ【キャンセル】を付与","|速さ魔防の大共謀2|","",,"","","","","パッシブB","",,"","可","|杖以外|","|歩行|騎馬|",,,,,,240,"","","",,,,,,,,,,,
1005,"カボチャの行灯+",,,,,"攻撃、速さ、守備、魔防+3<br>戦闘後、自分に6ダメージ","|カボチャの行灯|","",true,"","","","","武器","",,"青魔法","可",,,,12,,,,300,"","","",,3,3,3,3,,,,,,
1006,"攻撃魔防の大開放3",,,,"Atk/Res Gap 3","ターン開始時、自分を除く最も攻撃+魔防の合計値が高い味方の攻撃、魔防+5(1ターン)","|攻撃魔防の大開放2|","",,"","","","","パッシブC","",,"","可",,,,,,,,240,"","","",,,,,,,,,,,
1007,"びっくり箱+",,,,,"攻撃、速さ、守備、魔防+3<br>戦闘後、自分に6ダメージ<br>【暗器(7)】効果<br>【暗器(7)】戦闘中に攻撃していれば、戦闘後に敵と、その周囲2マスの敵の守備、魔防-7(敵の次回行動終了まで)","|びっくり箱|","",true,"","","","","武器","",,"暗器","可",,,,12,,,,300,"","","",,3,3,3,3,,,,,,
1008,"攻撃守備の防城戦3",,,,"AR-D Atk/Def 3","飛空城防衛時、戦闘中、自身の攻撃、守備が防衛設備の数によって最大+10上昇(防衛設備が5つ以上なら+10、4つなら+7、3つなら+4、2つ以下なら+1)(破壊された防衛設備は、無いものとして扱う)","|攻撃守備の防城戦2|","",,"","","","","パッシブA","",,"","可",,,,,,,,240,"","","",,,,,,,,,,,
1009,"追撃隊形・奇数3",,,,"Odd Follow-Up 3","奇数ターンの時、自分は絶対追撃、敵は追撃不可","|追撃隊形・奇数2|","",,"","","","","パッシブB","",,"","可","","|重装|",,,,,,240,"","","",,,,,,,,,,,
1010,"ロウソクの弓+",,,,,"飛行特効<br>
攻撃、速さ、守備、魔防+3<br>戦闘後、自分に6ダメージ","|ロウソクの弓|","",true,"","","","","武器","",,"弓","可",,,,12,,,,300,"|飛行|","","",,3,3,3,3,,,,,,
1011,"守護者の巨斧",,2019-10-08,"しゅごしゃのきょふ",,"奥義が発動しやすい(発動カウント-1)","","",true,"奥義が発動しやすい(発動カウント-1)","","戦闘中、敵の攻撃、守備-3、かつ敵の攻撃、守備の強化の+を無効にする(無効になるのは、鼓舞や応援等の+効果)",3,"武器","",,"斧","不可",,,,16,,,,400,"","","",,,,,,-1,,,,,
1012,"フレデリクの堅斧",,2019-10-08,"フレデリクのけんふ",,"重装特効","","",true,"重装特効","","自分から攻撃した時、戦闘中の攻撃+6",3,"武器","",,"斧","不可",,,,16,,,,400,"|重装|","","",,,,,,,,,,,
1013,"貴族的な弓",,2019-10-08,,,"飛行特効<br>ターン開始時、敵同士が隣接していて、かつ、HPが自分より1以上低い敵に【パニック】を付与<br>【パニック】強化を+ではなく-とする状態異常(敵の次回行動終了まで)","","",true,"飛行特効<br>ターン開始時、敵同士が隣接していて、かつ、HPが自分より1以上低い敵に【パニック】を付与","","戦闘開始時、自分の最大HPが敵のHPより1以上高い時、戦闘中、攻撃、速さ、守備、魔防+4","","武器","",,"弓","不可",,,,14,,,,400,"|飛行|","","",,,,,,,,,,,
1014,"太陽(武器)",,2023-03-06,,"Sol Lance","魔防+3<br>戦闘中、自分の攻撃でダメージを与えた時、自分のHP10回復(与えたダメージが0でも効果は発動)","|銀の槍|","",true,"魔防+3<br>戦闘中、自分の攻撃でダメージを与えた時、自分のHP14回復(与えたダメージが0でも効果は発動)<br>戦闘開始時、自身のHPが25%以上なら、戦闘中、敵の攻撃、守備-5、【回復不可】を50%無効<br>【回復不可】HPを回復できない状態異常(敵の次回行動終了まで)","","周囲3マス以内に味方がいる時、戦闘中、敵の攻撃、守備-5、敵は追撃不可、かつ戦闘開始時、自身のHPが50%以上なら、戦闘中、最初に受けた攻撃のダメージを30%軽減",3,"武器","",,"槍","不可",,,,16,,,,400,,,"",,,,,3,,,,,,
1015,"守備の相互鼓舞",,,,"Joint Hone Def","ターン開始時、周囲1マスに味方がいる場合、自分と周囲1マスの味方の守備+5(1ターン)","|守備の鼓舞3|","",,"","","","","パッシブC","",,"","可",,,,,,,,300,"","","",,,,,,,,,,,
1016,"メランコリー+",,,,"","戦闘中に攻撃していれば、戦闘後に敵と、その周囲2マスの敵の奥義発動カウントを最大値に戻す(最大値に戻る時、同時に「戦闘後、奥義発動カウント-」が発動しても無効、「奥義が発動しやすい」「奥義が出にくい」は有効)、かつ、【キャンセル】を付与","|メランコリー|","",,"","","",,"武器","",,"杖","可","","",,12,,,,300,,,"",,,,,,,,,,,
1017,"杖の経験3",,,,"Staff Exp. 3","生存時、自軍の武器種・杖は全員、入手経験値2倍(同系統スキル効果が複数の時は、累積せず最大値適用)","|杖の経験2|","",,"","","","","パッシブC","",,"","可","|杖|","",,,,true,,120,"","","",,,,,,,,,,,
1018,"流星(武器)",,2023-02-06,,"Astra Blade","攻撃+3<br>自分の攻撃が敵の守備より高い時、ダメージに(自分の攻撃-敵の守備)の50%を加算",,"",true,"攻撃+3<br>自分の攻撃が敵の守備より高い時、ダメージに(自分の攻撃-敵の守備)の50%を加算<br>自分から攻撃した時、または、周囲2マス以内に味方がいる時、戦闘中、攻撃、速さ、守備、魔防+4","","周囲2マス以内の味方の、周囲2マス以内に移動可能<br>戦闘開始時、自身のHPが25%以上なら、戦闘中、攻撃、速さ、守備、魔防+4、さらに、自身の攻撃が増加、敵の守備が減少増加値、減少値は、攻撃した側(自分からなら自分、敵からなら敵)の移動前と移動後のマスの距離(最大4)×2",3,"武器","",,"剣","不可",,,,16,,,,400,,,"",,3,,,,,,,,,
1019,"攻撃速さの絆4",,,,"Atk/Spd Bond 4","味方と隣接している時、戦闘中、自身の攻撃、速さ+7、かつ攻撃、速さの弱化を無効","|攻撃速さの絆3|","",,"","","","","パッシブA","",,"","可",,,,,,,,300,"","","",,,,,,,,,,,
1020,"マスターボウ",,2023-01-10,,Meisterbogen,"飛行特効<br>2回攻撃(敵から攻撃された時も、2回攻撃可能)<br>速さ-5<br>自分から攻撃した時、敵は追撃不可(プレイヤー操作時のみ)","","",true,"飛行特効<br>2回攻撃(敵から攻撃された時も、2回攻撃可能)<br>速さ-5<br>自分から攻撃した時、敵は追撃不可(プレイヤー操作時のみ)","","自分から攻撃した時、または、周囲2マス以内に味方がいる時、戦闘中、攻撃、速さ、守備、魔防+4、ダメージ+敵の攻撃の10%(戦闘前奥義も含む)、自身の奥義発動カウント変動量-を無効","","武器","",,"弓","不可",,,,9,,,,400,"|飛行|","","",,,-5,,,,2,2,,,
1021,"ノヴァの聖戦士",,,,"Njörun's Zeal","自分から攻撃した時、戦闘後、自分を行動可能にする(1ターンに1回のみ)<br>この奥義発動時、自分とダブル相手に移動を最大1マスに制限する状態異常を付与(次回行動終了まで)","","",,"","","","","奥義","",,"","不可",,,3,,,,,500,"","","",,,,,,,,,,,
1022,"攻撃魔防の渾身4",,,,"Atk/Res Push 4","戦闘開始時、自身のHPが25%以上なら攻撃、魔防+7<br>その状態で攻撃した時、戦闘後、自分に5ダメージ","|攻撃魔防の渾身3|","",,"","","","","パッシブA","",,"","可","|剣|槍|斧|竜|獣|","",,,,,,300,"","","",,,,,,,,,,,
1023,"暗器の経験3",,,,"Dagger Exp. 3","生存時、自軍の武器種・暗器は全員、入手経験値2倍(同系統スキル効果が複数の時は、累積せず最大値適用)","|暗器の経験2|","",,"","","","","パッシブC","",,"","可","|暗器|","",,,,true,,120,"","","",,,,,,,,,,,
