id,name,english_name,description,refine_description,special_refine_description
1161,"グレイの飄剣",,"騎馬特効<br>戦闘開始時、自分のHPが50%以上なら戦闘中、攻撃、速さ、守備、魔防+3","騎馬特効<br>戦闘開始時、自分のHPが50%以上なら戦闘中、攻撃、速さ、守備、魔防+3","周囲2マス以内の敵と味方の数(自身と戦闘相手を除く)が同じか敵の方が多い時、戦闘中、攻撃、速さ、守備、魔防+5"
1162,"雀躍の剣",,"重装特効","重装特効","戦闘開始時、自分の最大HPが敵のHPより1以上高い時、戦闘中、攻撃、速さ、守備、魔防+4"
1163,"古強者の槍",,"敵から攻撃された時、または敵のHPが70%以上で戦闘開始時、戦闘中、自身の攻撃、魔防+5","敵から攻撃された時、または敵のHPが70%以上で戦闘開始時、戦闘中、自身の攻撃、魔防+5","ターン開始時、敵同士が隣接していて、かつ、魔防が自分より3以上低い敵の攻撃-7(敵の次回行動終了まで)"
1164,"キャンセルの斧+","Guard Axe+","戦闘中、敵の奥義発動カウント変動量-1(同系統効果複数時、最大値適用)","",""
1165,"キャンセルの斧","Guard Axe","戦闘中、敵の奥義発動カウント変動量-1(同系統効果複数時、最大値適用)","",""
1166,"攻撃の覚醒1","Defiant Atk 1","ターン開始時、自分のHPが50%以下なら攻撃+3","",""
1167,"攻撃の覚醒2","Defiant Atk 2","ターン開始時、自分のHPが50%以下なら攻撃+5","",""
1168,"ヴェズルの妖卵","Eagle's Egg","攻撃+3<br>周囲2マス以内に味方がいる時、戦闘中、自身の攻撃、速さ、守備、魔防+5、かつ弱化を無効","攻撃+3<br>自分から攻撃した時、または、周囲2マス以内に味方がいる時、戦闘中、自身の攻撃、速さ、守備、魔防+5、かつ弱化を無効、絶対追撃","【再移動(1)】を発動可能<br>ターン開始時、自分の周囲5マス以内にいる最も近い敵とその周囲2マス以内の敵の守備、魔防-6、【弱点露呈】を付与(敵の次回行動終了時まで)<br>戦闘開始時、自身のHPが25%以上なら、戦闘中、攻撃、速さ、守備、魔防+4、かつ敵が【不利な状態異常】を受けている時、敵は反撃不可"
1169,"攻撃魔防の封印2","Chill Atk/Res 2","ターン開始時、敵軍内で最も攻撃+魔防の合計値が高い敵の攻撃、魔防-5(敵の次回行動終了まで)","",""
1170,"白兎神の人参","Bun-Bun Baton","重装特効<br>奥義が発動しやすい(発動カウント-1)<br>戦闘中、敵の絶対追撃を無効、かつ、自分の追撃不可を無効","重装特効<br>奥義が発動しやすい(発動カウント-1)<br>戦闘中、敵の絶対追撃を無効、かつ、自分の追撃不可を無効<br>戦闘開始時、自身のHPが25%以上なら、戦闘中、攻撃、速さ、守備、魔防+4、自身の奥義発動カウント変動量-を無効","速さの差を比較するスキルの比較判定時、自身の速さ+7として判定<br>敵から攻撃された時、または、戦闘開始時、敵のHPが75%以上の時、戦闘中、自身の攻撃、速さ、守備、魔防+4、敵の奥義以外のスキルによる「ダメージを○○%軽減」を半分無効(無効にする数値は端数切捨て。例えば敵の「ダメージを45%軽減」なら半分の「22%」分を無効にし、「ダメージを23%軽減」にする)、かつ、速さが敵より高い時、受けた範囲奥義のダメージと、戦闘中に攻撃を受けた時のダメージを速さの差×4%軽減(最大40%)(巨影の範囲奥義を除く)"
1171,"黄金のフォーク+",,"周囲2マス以内に味方がいる時、戦闘中、自身の攻撃、守備+5、かつ攻撃、守備の弱化を無効","",""
1172,"槍の経験3","Lance Exp. 3","生存時、自軍の武器種・槍は全員、入手経験値2倍(同系統スキル効果が複数の時は、累積せず最大値適用)","",""
1173,"春風のブレス","Zephyr Breath","重装特効<br>魔防+3<br>自身が強化(応援、鼓舞等)を受けている、または周囲2マス以内に味方がいる時、戦闘中、自身の弱化を無効化し、敵の攻撃-6、敵は追撃不可<br>射程2の敵に、敵の守備か魔防の低い方でダメージ計算","重装特効<br>魔防+3<br>自身が【有利な状態】を受けている時、または、周囲2マス以内に味方がいる時、戦闘中、自身の弱化を無効化し、敵の攻撃-6、敵の速さ、守備、魔防-4、敵は追撃不可<br>射程2の敵に、敵の守備か魔防の低い方でダメージ計算","敵から攻撃された時、または、戦闘開始時、敵のHPが75%以上の時、戦闘中、敵の攻撃、速さ、守備、魔防-4、最初に受けた攻撃と2回攻撃のダメージ-5(最初に受けた攻撃と2回攻撃:通常の攻撃は、1回目の攻撃のみ「2回攻撃」は、1～2回目の攻撃)、かつ魔防が敵より高い時、受けた範囲奥義のダメージと、戦闘中に攻撃を受けた時のダメージを魔防の差×4%軽減(最大40%)(巨影の範囲奥義を除く)<br>敵から攻撃された時、または、戦闘開始時、敵のHPが75%以上の時、戦闘後、7回復"
1174,"鬼神金剛の構え3","Sturdy Stance 3","敵から攻撃された時、戦闘中、攻撃、守備+6かつ、敵の奥義発動カウント変動量-1(同系統効果複数時、最大値適用)","",""
1175,"人参風の装飾+","Carrot Cudgel+","周囲2マス以内に味方がいる時、戦闘中、自身の攻撃、守備+5、かつ攻撃、守備の弱化を無効","",""
1176,"絶無の書","Void Tome","攻撃+3<br>戦闘開始時、敵の攻撃が50以上、または敵が【不利な状態異常】を受けている時、戦闘中、自身の攻撃、守備、魔防+5<br>戦闘開始時、敵の速さが35以上、または敵が【不利な状態異常】を受けている時、戦闘中、自身は絶対追撃","攻撃+3<br>戦闘開始時、敵の攻撃が50以上、または敵が【不利な状態異常】を受けている時、戦闘中、自身の攻撃、守備、魔防+5<br>戦闘開始時、敵の速さが35以上、または敵が【不利な状態異常】を受けている時、戦闘中、自身は絶対追撃","戦闘開始時、敵のHPが50%以上の時、戦闘中、攻撃、速さ、守備、魔防+4<br>敵が奥義を装備していて、奥義発動カウントの最大値が本来より減少している時(奥義が発動しやすい時)、戦闘中、自分の最初の攻撃前に、自身の奥義発動カウント-1<br>戦闘開始時、敵の攻撃が50以上の時、戦闘中、ダメージ+戦闘開始時の敵の攻撃の15%<br>(範囲奥義を除く)<br>戦闘開始時、敵の守備、魔防のいずれかが35以上の時、または、敵が【有利な状態】を受けている時、戦闘中、攻撃を受けた時のダメージを◯%軽減。○は、戦闘開始時の敵の守備と魔防の高い方の値(最大50範囲奥義を除く)"
1177,"攻撃守備の渾身4","Atk/Def Push 4","戦闘開始時、自身のHPが25%以上なら攻撃、守備+7<br>その状態で攻撃した時、戦闘後、自分に5ダメージ","",""
1178,"見通せぬ深き暗闇","Impenetrable Dark","自分が戦闘中、戦闘相手以外の敵軍のスキルを無効化","",""
1179,"お大尽の弓+","Spendthrift Bow+","飛行特効<br>戦闘中、攻撃+7、敵の攻撃-7<br>攻撃を行った時、戦闘後、自身の奥義発動カウント+2(自身の奥義発動カウントの最大値は超えない)","",""
1180,"リンカの鬼金棒","Rinkah's Club","奥義が発動しやすい(発動カウント-1)<br>戦闘開始時、自身のHPが99%以下の時、または敵から攻撃された時、戦闘中、攻撃、守備+5、かつ、敵の攻撃によりダメージを受けた時、奥義発動カウント変動量+1(同系統効果複数時、最大値適用)(この効果を受けたダメージが0の場合も発動する)","奥義が発動しやすい(発動カウント-1)<br>戦闘開始時、自身のHPが99%以下の時、または、戦闘開始時、敵のHPが75%以上の時、または、敵から攻撃された時、戦闘中、攻撃、守備+5、速さ、魔防+4、奥義発動カウント変動量+1(同系統効果複数時、最大値適用)、最初に受けた攻撃と2回攻撃のダメージ-守備の15%(最初に受けた攻撃と2回攻撃:通常の攻撃は、1回目の攻撃のみ。「2回攻撃」は、1～2回目の攻撃)","周囲3マス以内に味方がいる時、戦闘中、攻撃、速さ、守備、魔防+4、自分の攻撃でダメージを与えた時、7回復(与えたダメージが0でも効果は発動)<br>最初に受けた攻撃と2回攻撃のダメージを40%軽減(最初に受けた攻撃と2回攻撃:通常の攻撃は、1回目の攻撃のみ。「2回攻撃」は、1～2回目の攻撃)、最初に受けた攻撃で軽減した値を、自身の次の攻撃のダメージに+(その戦闘中のみ。軽減値はスキルによる軽減効果も含む)"
1181,"金剛の反撃・近距離","Close Foil","剣、槍、斧、弓、暗器、獣の敵から攻撃された時、距離に関係なく反撃する、かつ戦闘中、攻撃、守備+5","",""
1182,"金剛の反撃・遠距離","Distant Foil","剣、槍、斧、弓、暗器、獣の敵から攻撃された時、距離に関係なく反撃する、かつ戦闘中、攻撃、守備+5","",""
1183,"星竜のブレス","Astral Breath","速さ+3<br>自分と支援を結んでいる相手の隣接マスへ移動可能<br>自分と支援を結んでいる相手が3マス以内にいる時、戦闘中、自身の攻撃、速さ、守備、魔防+5<br>射程2の敵に、敵の守備か魔防の低い方でダメージ計算","速さ+3<br>自分と支援を結んでいる相手の周囲2マス以内のマスに移動可能<br>ターン開始時、周囲3マス以内に自分と支援を結んでいる相手がいる時、自分と、周囲3マス以内の支援相手の速さ、守備、魔防+6、【回避】を付与(1ターン)<br>周囲3マス以内に味方がいる時、戦闘中、自身の攻撃、速さ、守備、魔防+5、戦闘後、7回復<br>射程2の敵に、敵の守備か魔防の低い方でダメージ計算","戦闘開始時、自身のHPが25%以上なら、戦闘中、攻撃、速さ、守備、魔防+4、さらに、攻撃、速さ、守備、魔防が増加、増加値は、攻撃した側(自分からなら自分、敵からなら敵)の移動前と移動後のマスの距離(最大4)、ダメージ+○、○は、自分と周囲2マス以内にいる味方のうち強化の合計値が最も高い値(範囲奥義を除く)、敵の絶対追撃を無効、かつ、自分の追撃不可を無効"
1184,"攻撃の相互大紋章","Joint Drive Atk","周囲2マス以内の味方は、戦闘中、攻撃+4<br>周囲2マス以内に味方がいる時、戦闘中、自身の攻撃+4","",""
1185,"蒼鴉の書",,"騎馬特効","騎馬特効","戦闘中、敵が受けている弱化の合計値を自分の攻撃に加算"
1186,"老騎士の古斧",,"ターン開始時、自分のHPが50%以上なら、敵軍内で最も速さが低い敵の攻撃、守備-5(敵の次回行動終了まで)","ターン開始時、自分のHPが50%以上なら、敵軍内で最も速さが低い敵の攻撃、守備-5(敵の次回行動終了まで)","周囲2マス以内の歩行、騎馬の味方は、戦闘中、攻撃、守備+4<br>周囲2マス以内に歩行、騎馬の味方がいる時、戦闘中、自身の攻撃、守備+4"
1187,"砂糖菓子の暗器",,"自分から攻撃した時、ダメージ+速さの10%、かつ、戦闘中、速さ+4<br>【暗器(7)】効果<br>【暗器(7)】戦闘中に攻撃していれば、戦闘後に敵と、その周囲2マスの敵の守備、魔防-7(敵の次回行動終了まで)","自分から攻撃した時、ダメージ+速さの10%、かつ、戦闘中、速さ+4<br>【暗器(7)】効果<br>【暗器(7)】戦闘中に攻撃していれば、戦闘後に敵と、その周囲2マスの敵の守備、魔防-7(敵の次回行動終了まで)","敵のHPが100%で戦闘開始時、戦闘中のダメージ+7<br>敵のHPが100%で戦闘前奥義発動時、戦闘前奥義のダメージ+7"
1188,"マクベスの惑書","Iago's Tome","魔防+3<br>奇数ターン開始時、敵同士が隣接していない、かつ、HPが自分より3以上低い敵の攻撃、速さ-4、かつ、【キャンセル】を付与(敵の次回行動終了まで)<br>偶数ターン開始時、敵同士が隣接していて、かつ、HPが自分より3以上低い敵の守備、魔防-4、かつ、【パニック】を付与<br>【パニック】強化を+ではなく-とする(敵の次回行動終了まで)","魔防+3<br>奇数ターン開始時、敵同士が隣接していない、かつ、HPが自分より1以上低い敵の攻撃、速さ-6、かつ、【キャンセル】を付与(敵の次回行動終了時まで)<br>偶数ターン開始時、敵同士が隣接していて、かつ、HPが自分より1以上低い敵の守備、魔防-6、かつ、【パニック】を付与(敵の次回行動終了時まで)<br>戦闘開始時、自身のHPが25%以上なら、戦闘中、攻撃、速さ、守備、魔防+4","奇数ターン開始時、自分と周囲2マス以内の味方の守備、魔防+6、「敵は追撃不可」、「敵の強化の+を無効」を付与(1ターン)<br>偶数ターン開始時、自分と周囲2マス以内の味方の攻撃、速さ+6、「自分から攻撃時、絶対追撃」、【魔刃】を付与(1ターン)<br>敵から攻撃された時、または、戦闘開始時、敵のHPが75%以上の時、戦闘中、攻撃、速さ、守備、魔防+4"
1189,"錬成の証・HP3",,HP+5,"",""
1190,"錬成の証・攻撃3",,"攻撃+3","",""
1191,"錬成の証・速さ3",,"速さ+3","",""
1192,"錬成の証・守備3",,"守備+3","",""
1193,"錬成の証・魔防3",,"魔防+3","",""
1194,"第1迷宮の覇者3",,HP+5,"",""
1195,"第2迷宮の覇者3",,"守備+3","",""
1196,"第3迷宮の覇者3",,"魔防+3","",""
1197,"第4迷宮の覇者3",,"速さ+3","",""
1198,"第5迷宮の覇者3",,"攻撃+3","",""
1199,"第6迷宮の覇者3",,HP+5,"",""
1200,"第7迷宮の覇者3",,"守備+3","",""
1201,"第8迷宮の覇者3",,"魔防+3","",""
1202,"第9迷宮の覇者3",,"速さ+3","",""
1203,"第10迷宮の覇者3",,"攻撃+3","",""
1204,"第11迷宮の覇者3",,HP+5,"",""
1205,"第12迷宮の覇者3",,"守備+3","",""
1206,"第13迷宮の覇者3",,"魔防+3","",""
1207,"第14迷宮の覇者3",,"速さ+3","",""
1208,"第15迷宮の覇者3",,"攻撃+3","",""
1209,"第16迷宮の覇者3",,HP+5,"",""
1210,"第17迷宮の覇者3",,"守備+3","",""
1211,"第18迷宮の覇者3",,"魔防+3","",""
1212,"第19迷宮の覇者3",,"速さ+3","",""
1213,"第20迷宮の覇者3",,"攻撃+3","",""
1214,"第21迷宮の覇者3",,HP+5,"",""
1215,"第22迷宮の覇者3",,"守備+3","",""
1216,"第23迷宮の覇者3",,"魔防+3","",""
1217,"第24迷宮の覇者3",,"速さ+3","",""
1218,"第25迷宮の覇者3",,"攻撃+3","",""
1219,"第26迷宮の覇者3",,HP+5,"",""
1220,"第27迷宮の覇者3",,"守備+3","",""
1221,"第28迷宮の覇者3",,"魔防+3","",""
1222,"第29迷宮の覇者3",,"速さ+3","",""
1223,"第30迷宮の覇者3",,"攻撃+3","",""
1224,"第31迷宮の覇者2",,"HP+4、攻撃+2","",""
1225,"第32迷宮の覇者2",,"HP+4、速さ+2","",""
1226,"第33迷宮の覇者2",,"HP+4、守備+2","",""
1227,"死線1","Life and Death 1","攻撃、速さ+3<br>守備、魔防-3","",""
1228,"死線2","Life and Death 2","攻撃、速さ+4<br>守備、魔防-4","",""
1229,"HP魔防1","HP/Res 1","HP+3、魔防+1","",""
1230,"疾風の舞い1","Gale Dance 1","「歌う」「踊る」使用時、対象の速さ+2","",""
1231,"疾風の舞い2","Gale Dance 2","「歌う」「踊る」使用時、対象の速さ+3","",""
1232,"英雄の血脈",,"速さの30%を奥義ダメージに加算<br>戦闘後、自分と全味方の攻撃、速さ、守備、魔防+4(1ターン)(その戦闘で時分のHPが0になっても効果は発動)","",""
1233,"速さ守備の信義3","Spd/Def Oath 3","ターン開始時、周囲1マスに味方がいれば自分の速さ、守備+5(1ターン)","",""
1234,"フェザーソード","Feather Sword","剣、槍、斧、無属性弓、重装特効<br>攻撃+3<br>自分のHPが75%以下、または、敵が剣、槍、斧、無属性弓、重装なら、敵から攻撃された時、先制攻撃","剣、槍、斧、無属性弓、重装特効<br>攻撃+3<br>敵から攻撃された時、または、戦闘開始時、敵のHPが75%以上の時、戦闘中、攻撃、速さ、守備、魔防+4、敵の絶対追撃を無効、かつ、自分の追撃不可を無効<br>自分のHPが90%以下、または、敵が剣、槍、斧、無属性弓、重装なら、敵から攻撃された時、先制攻撃","【再移動(2)】を発動可能<br>戦闘開始時、自身のHPが25%以上なら、戦闘中、攻撃、速さ、守備、魔防+4、さらに、攻撃、速さが周囲3マス以内の味方の人数×3だけ上昇(最大6)、最初に受けた攻撃と2回攻撃のダメージを40%軽減(最初に受けた攻撃と2回攻撃:通常の攻撃は、1回目の攻撃のみ。「2回攻撃」は、1～2回目の攻撃)"
1235,"愛を信じますか?","Belief in Love","敵から攻撃された時、または敵のHPが100%で戦闘開始時、戦闘中、敵の攻撃、守備-5","",""
1236,"予兆の風","Winds of Change","飛行特効<br>奥義が発動しやすい(発動カウント-1)<br>自身が強化(応援、鼓舞等)を受けている、または戦闘開始時のHPが50%以上の時、戦闘中、攻撃、速さ+5、敵の絶対追撃を無効、かつ、自分の追撃不可を無効","飛行特効<br>奥義が発動しやすい(発動カウント-1)<br>自身が【有利な状態】を受けている、または戦闘開始時のHPが50%以上の時、戦闘中、攻撃、速さ+5、敵の絶対追撃を無効、かつ、自分の追撃不可を無効、ダメージ+速さの15%(範囲奥義を除く)","自分から攻撃した時、または、周囲2マス以内に味方がいる時、戦闘中、攻撃、速さ+5、自身の奥義発動カウント変動量-を無効、敵の速さ、魔防の強化の+を無効にする(無効になるのは、鼓舞や応援等の+効果)、自身の奥義発動時、敵の奥義以外のスキルによる「ダメージを○○%軽減」を無効(範囲奥義を除く)"
1237,"聖風",,"速さの30%を奥義ダメージに加算<br>戦闘後、自分と全味方のHP10回復(一つの戦闘で複数回発動時、回復効果は重複しない)(その戦闘で自分のHPが0になっても効果は発動)","",""
1238,"白き飛翔の槍","Whitedown Spear","攻撃+3<br>自軍内に飛行が3体以上いる状態で、自分から攻撃した時、戦闘中、敵の攻撃、守備-4、自分は絶対追撃<br>周囲2マス以内に飛行の味方が2体以上いる状態で、自分から攻撃した時、2回攻撃","攻撃+3<br>自分から攻撃した時、または、周囲3マス以内に味方がいる時、戦闘中、敵の攻撃、速さ、守備-4、自分は絶対追撃<br>周囲3マス以内に飛行の味方が2体以上いる時、2回攻撃","周囲3マス以内に飛行の味方がいる時、【再移動(残り+1)】を発動可能<br>戦闘開始時、自身のHPが25%以上なら、戦闘中、攻撃、速さ、守備、魔防+4、ダメージ+攻撃の15%(範囲奥義を除く)、かつ周囲3マス以内に飛行の味方が2体以上いる時、自身の奥義発動カウント変動量+1(同系統効果複数時、最大値適用)"
1239,"攻撃速さの封印2","Chill Atk/Spd 2","ターン開始時、敵軍内で最も攻撃+速さの合計値が高い敵の攻撃、速さ-5(敵の次回行動終了まで)","",""
1240,"業火大地の舞い1","Caldera Dance 1","「歌う」「踊る」使用時、対象の攻撃+2、守備+3","",""
1241,"静水の舞い1","Torrent Dance 1","「歌う」「踊る」使用時、対象の魔防+3","",""
1242,"静水の舞い2","Torrent Dance 2","「歌う」「踊る」使用時、対象の魔防+4","",""
1243,"大地静水の舞い1","Geyser Dance 1","「歌う」「踊る」使用時、対象の守備、魔防+3","",""
1244,"不動の姿勢1","Hardy Bearing 1","自身の戦闘順入替スキル(待ち伏せ、攻め立て等)無効<br>戦闘開始時、自身のHPが100%の時、敵の戦闘順入替スキルを無効","",""
1245,"守備の大紋章1","Drive Def 1","周囲2マスの味方は、戦闘中、守備+2","",""
1246,"攻撃1","Attack +1","攻撃+1","",""
1247,"攻撃2","Attack +2","攻撃+2","",""
1248,"速さ1","Speed +1","速さ+1","",""
1249,"速さ2","Speed +2","速さ+2","",""
1250,"守備1","Defense +1","守備+1","",""
1251,"守備2","Defense +2","守備+2","",""
1252,"ご奉仕の喜び1","Live to Serve 1","杖で味方を回復させた時、回復させたHPの50%を自分も回復する","",""
1253,"ご奉仕の喜び2","Live to Serve 2","杖で味方を回復させた時、回復させたHPの75%を自分も回復する","",""
1254,"切り返し1","Quick Riposte 1","自分のHPが90%以上で、敵から攻撃された時、絶対追撃","",""
1255,"切り返し2","Quick Riposte 2","自分のHPが80%以上で、敵から攻撃された時、絶対追撃","",""
1256,"剛剣1","Heavy Blade 1","攻撃が敵より5以上高い時、自身の攻撃による奥義発動カウント変動量+1(同系統効果複数時、最大値適用)","",""
1257,"剛剣2","Heavy Blade 2","攻撃が敵より3以上高い時、自身の攻撃による奥義発動カウント変動量+1(同系統効果複数時、最大値適用)","",""
1258,"回復1","Renewal 1","3ターンに1回、ターン開始時、HP10回復","",""
1259,"回復2","Renewal 2","4ターンに1回、ターン開始時、HP10回復","",""
1260,"攻撃守備1","Attack/Def +1","攻撃、守備+1","",""
1261,"攻撃魔防1","Attack/Res 1","攻撃、魔防+1","",""
1262,"速さ守備1","Spd/Def 1","速さ、守備+1","",""
1263,"速さ魔防1","Spd/Res 1","速さ、魔防+1","",""
1264,"守備の紋章1","Spur Def 1","周囲1マスの味方は、戦闘中、守備+2","",""
1265,"守備の紋章2","Spur Def 2","周囲1マスの味方は、戦闘中、守備+3","",""
1266,"守備魔防の紋章1","Spur Def/Res 1","周囲1マスの味方は、戦闘中、守備魔防+2","",""
1267,"攻撃の大紋章1","Drive Atk 1","周囲2マスの味方は、戦闘中、攻撃+2","",""
1268,"攻撃の紋章1","Spur Atk 1","周囲1マスの味方は、戦闘中、攻撃+2","",""
1269,"攻撃の紋章2","Spur Atk 2","周囲1マスの味方は、戦闘中、攻撃+3","",""
1270,"攻撃速さの紋章1","Spur Atk/Spd 1","周囲1マスの味方は、戦闘中、攻撃速さ+2","",""
1271,"攻撃魔防の紋章1","Spur Atk/Res 1","周囲1マスの味方は、戦闘中、攻撃魔防+2","",""
1272,"速さの大紋章1","Drive Spd 1","周囲2マスの味方は、戦闘中、速さ+2","",""
1273,"速さの紋章1","Spur Spd 1","周囲1マスの味方は、戦闘中、速さ+2","",""
1274,"速さの紋章2","Spur Spd 2","周囲1マスの味方は、戦闘中、速さ+3","",""
1275,"魔防の大紋章1","Drive Res 1","周囲2マスの味方は、戦闘中、魔防+2","",""
1276,"魔防の紋章1","Spur Res 1","周囲1マスの味方は、戦闘中、魔防+2","",""
1277,"魔防の紋章2","Spur Res 2","周囲1マスの味方は、戦闘中、魔防+3","",""
1278,"業火の舞い1","Blaze Dance 1","「歌う」「踊る」使用時、対象の攻撃+2","",""
1279,"業火の舞い2","Blaze Dance 2","「歌う」「踊る」使用時、対象の攻撃+3","",""
1280,"守備の城塞1","Fortress Def 1","攻撃-3、守備+3","",""
1281,"守備の城塞2","Fortress Def 2","攻撃-3、守備+4","",""
1282,"魔防の城塞1","Fortress Res 1","攻撃-3、魔防+3","",""
1283,"魔防の城塞2","Fortress Res 2","攻撃-3、魔防+4","",""
1284,"守備魔防1","Def/Res 1","守備、魔防+1","",""
1285,"攻撃速さ1","Atk/Spd 1","攻撃、速さ+1","",""
1286,"キャンセル1","Guard 1","戦闘開始時、自身のHPが100%なら敵の奥義発動カウント変動量-1(同系統効果複数時、最大値適用)","",""
1287,"キャンセル2","Guard 2","戦闘開始時、自身のHPが90%以上なら敵の奥義発動カウント変動量-1(同系統効果複数時、最大値適用)","",""
1288,"赤い竜騎士の斧","Dragoon Axe","奥義が発動しやすい(発動カウント-1)<br>敵のHPが100%で戦闘開始時、戦闘中の自分の攻撃、速さ、守備、魔防+4、かつ、敵の奥義発動カウント変動量-1(同系統効果複数時、最大値適用)","奥義が発動しやすい(発動カウント-1)<br>敵から攻撃された時、または、戦闘開始時、敵のHPが75%以上の時、戦闘中の自分の攻撃、速さ、守備、魔防+4かつ、敵の奥義発動カウント変動量-1(同系統効果複数時、最大値適用)、戦闘後、自分は、7回復","ターン開始時、周囲2マス以内に味方がいる時、自分と周囲2マス以内の味方の攻撃、速さ+6、「戦闘中、奥義発動カウント変動量+1(同系統効果複数時、最大値適用)」を付与(1ターン)<br>周囲3マス以内に味方がいる時、戦闘中、攻撃、速さ、守備、魔防+4、敵の絶対追撃を無効、かつ、自分の追撃不可を無効"
1289,"赤い竜騎士の盾","Dragoon Shield","飛行特効無効<br>攻撃、速さ、守備+3","",""
1290,"鬼神金剛の構え1","Sturdy Stance 1","敵から攻撃された時、戦闘中、攻撃、守備+2","",""
1291,"攻撃の指揮1","Atk Tactic 1","ターン開始時、周囲2マスの味方の攻撃+2(1ターン)<br>ただし、現在の部隊内で、同じ移動タイプが2体以下の味方のみが対象","",""
1292,"攻撃の指揮2","Atk Tactic 2","ターン開始時、周囲2マスの味方の攻撃+4(1ターン)<br>ただし、現在の部隊内で、同じ移動タイプが2体以下の味方のみが対象","",""
1293,"速さの指揮1","Spd Tactic 1","ターン開始時、周囲2マスの味方の速さ+2(1ターン)<br>ただし、現在の部隊内で、同じ移動タイプが2体以下の味方のみが対象","",""
1294,"速さの指揮2","Spd Tactic 2","ターン開始時、周囲2マスの味方の速さ+4(1ターン)<br>ただし、現在の部隊内で、同じ移動タイプが2体以下の味方のみが対象","",""
1295,"守備の指揮1","Def Tactic 1","ターン開始時、周囲2マスの味方の守備+2(1ターン)<br>ただし、現在の部隊内で、同じ移動タイプが2体以下の味方のみが対象","",""
1296,"守備の指揮2","Def Tactic 2","ターン開始時、周囲2マスの味方の守備+4(1ターン)<br>ただし、現在の部隊内で、同じ移動タイプが2体以下の味方のみが対象","",""
1297,"魔防の指揮1","Res Tactic 1","ターン開始時、周囲2マスの味方の魔防+2(1ターン)<br>ただし、現在の部隊内で、同じ移動タイプが2体以下の味方のみが対象","",""
1298,"魔防の指揮2","Res Tactic 2","ターン開始時、周囲2マスの味方の魔防+4(1ターン)<br>ただし、現在の部隊内で、同じ移動タイプが2体以下の味方のみが対象","",""
1299,"成獣の化身・飛行","Adult (Flier)","ターン開始時、竜、獣以外の味方と隣接していない場合化身状態になり、移動+1(1ターン、重複しない)(そうでない場合、化身状態を解除)<br>化身状態なら、攻撃+2","",""
1300,"獅子奮迅1","Fury 1","攻撃、速さ、守備、魔防+1<br>戦闘後、自分に2ダメージ","",""
1301,"獅子奮迅2","Fury 2","攻撃、速さ、守備、魔防+2<br>戦闘後、自分に6ダメージ","",""
1302,"アイムール",Aymr,"攻撃+3<br>周囲1マス以内に味方がいない時、戦闘中、敵の攻撃、守備-6、敵は追撃不可","攻撃+3<br>周囲1マス以内に味方がいない時、または、敵から攻撃された時、戦闘中、敵の攻撃、守備-6、敵は追撃不可、最初に受けた攻撃のダメージを30%軽減","戦闘開始時、敵のHPが75%以上の時、または、周囲1マス以内に味方がいない時、戦闘中、敵の攻撃、守備-5、自分が与えるダメージ+攻撃の15%(戦闘前奥義も含む)、自身の奥義発動カウント変動量+1(同系統効果複数時、最大値適用)"
1303,"狂嵐","Raging Storm","自分から攻撃した時、戦闘後、周囲1マス以内に味方がいなければ、自分を行動可能にする(1ターンに1回のみ)(巨影の「影撃」等、戦闘後、位置を変更するスキルが発動した場合は、変更後の位置で判定を行う)<br>敵が竜、獣、かつ、周囲1マス以内に味方がいなければ、戦闘中、自分は絶対追撃","",""
1304,"重装の遊撃3","Armored Stride 3","ターン開始時、周囲1マスに味方がいなければ、移動+1(1ターン、重複しない)","",""
1305,"佳麗の弓",,"飛行特効<br>奥義が発動しやすい(発動カウント-1)","飛行特効<br>奥義が発動しやすい(発動カウント-1)","戦闘開始時、自分のHPが50%以上なら戦闘中、攻撃、速さ、守備+4、かつ、自分から攻撃していれば、敵は追撃不可"
1306,"ルーンアクス","Rune Axe","戦闘中、自分の攻撃でダメージを与えた時、自分のHP7回復(与えたダメージが0でも効果は発動)","戦闘中、自分の攻撃でダメージを与えた時、自分のHP7回復(与えたダメージが0でも効果は発動)","敵が【不利な状態異常】を受けている時、戦闘中、攻撃、速さ、守備、魔防+4"
1307,"重騎士の重槍",,"奥義が発動しやすい(発動カウント-1)","奥義が発動しやすい(発動カウント-1)","戦闘開始時、自分のHPが50%以上なら戦闘中、守備、魔防+4、かつ、敵の攻撃によりダメージを受けた時、奥義発動カウント変動量+1(同系統複数時、最大値適用)(この効果は受けたダメージが0の場合も発動する)"
